Customer ID,Product ID,Subscription Start Date,Subscription End Date,Monthly Subscription Fee,Invoice Date,Invoice Amount,Sales Target,Lead Status,Lead Created Date,First Response Date,Deal Value,Deal Closed Date,Marketing Spend,Sales Spend,Additional Purchase Date
C0001,P109,2023-09-22,2024-04-28,60,2023-09-27,56,2324,Converted,2023-09-14,2023-09-15 23:00:00,4628,2023-10-21,773,826,2024-07-08
C0002,P110,2023-05-23,,95,2023-06-22,97,3158,Converted,2023-05-15,2023-05-17 20:00:00,3343,2023-06-26,242,845,
C0003,P106,2023-08-26,2023-12-25,51,2023-08-27,56,1676,New,2023-07-30,2023-07-30 21:00:00,565,2023-10-03,546,808,2024-03-15
C0004,P104,2023-04-22,2024-04-19,41,2023-05-18,49,4303,Converted,2023-04-20,2023-04-21 04:00:00,3035,2023-05-11,603,868,2024-05-11
C0005,P106,2023-11-18,2024-11-12,38,2023-11-24,36,1500,Lost,2023-10-31,2023-11-02 23:00:00,3298,2023-12-15,305,491,
C0006,P110,2023-03-20,2023-10-22,22,2023-03-25,27,2499,New,2023-02-26,2023-02-26 11:00:00,1947,2023-04-30,521,708,
C0007,P109,2023-12-14,2024-01-29,83,2024-01-04,90,4578,Lost,2023-12-02,2023-12-02 12:00:00,3696,2023-12-23,423,865,
C0008,P105,2023-12-09,2024-01-23,38,2024-01-02,39,3159,Lost,2023-12-05,2023-12-05 18:00:00,3619,2024-01-10,495,511,2024-04-16
C0009,P106,2024-01-22,,53,2024-02-21,50,3220,New,2024-01-03,2024-01-03 22:00:00,3957,2024-02-29,601,761,
C0010,P101,2023-04-29,2023-08-07,36,2023-05-20,46,1371,Contacted,2023-04-03,2023-04-05 06:00:00,1107,2023-06-23,555,441,
C0011,P109,2023-10-18,2024-02-27,28,2023-11-15,25,1730,Contacted,2023-10-09,2023-10-11 04:00:00,2443,2023-10-31,267,551,2024-06-04
C0012,P104,2023-07-23,,46,2023-08-14,54,3216,Lost,2023-07-02,2023-07-03 17:00:00,2792,2023-08-03,397,496,
C0013,P100,2023-11-06,2024-06-20,45,2023-11-06,48,2389,Contacted,2023-10-16,2023-10-16 16:00:00,1521,2023-12-05,631,990,
C0014,P102,2023-01-21,2024-01-09,72,2023-02-08,72,4774,Lost,2023-01-08,2023-01-09 11:00:00,2776,2023-03-05,518,777,2024-02-26
C0015,P108,2023-12-15,2024-10-15,30,2024-01-09,39,4576,Lost,2023-12-09,2023-12-09 04:00:00,2868,2024-01-17,779,740,2025-01-23
C0016,P106,2023-11-26,2024-09-07,98,2023-12-22,106,2528,Lost,2023-11-19,2023-11-19 03:00:00,4531,2024-01-14,800,393,
C0017,P100,2023-10-17,2024-01-08,68,2023-10-24,67,1917,Lost,2023-09-25,2023-09-27 09:00:00,3355,2023-11-17,366,319,
C0018,P110,2023-01-08,,24,2023-01-12,21,3217,Converted,2022-12-17,2022-12-17 18:00:00,4921,2023-01-20,402,998,
C0019,P106,2023-11-02,2024-08-06,23,2023-11-10,21,1122,Lost,2023-10-12,2023-10-13 00:00:00,3377,2023-11-28,240,634,
C0020,P104,2024-01-30,2024-08-13,74,2024-01-30,84,1919,New,2024-01-05,2024-01-05 03:00:00,1177,2024-02-08,484,955,2024-09-15
C0021,P109,2023-04-22,,99,2023-05-11,97,3367,New,2023-03-29,2023-03-31 19:00:00,4611,2023-05-30,632,699,
C0022,P107,2023-03-08,2023-07-10,72,2023-03-08,80,1640,Contacted,2023-02-06,2023-02-08 22:00:00,2200,2023-03-14,355,484,2023-09-04
C0023,P104,2023-05-28,2023-08-20,48,2023-05-29,45,1743,New,2023-05-21,2023-05-23 11:00:00,4613,2023-07-21,269,706,2023-09-30
C0024,P110,2023-07-16,,47,2023-07-29,51,3127,New,2023-07-12,2023-07-14 19:00:00,4665,2023-08-13,476,795,
C0025,P102,2023-10-15,2024-03-27,34,2023-11-08,39,3185,Converted,2023-10-08,2023-10-09 14:00:00,1457,2023-11-14,649,495,
C0026,P102,2023-06-13,,58,2023-06-23,54,4292,Converted,2023-06-09,2023-06-11 00:00:00,633,2023-06-22,274,442,
C0027,P105,2023-08-17,2023-10-20,28,2023-09-14,37,4998,Lost,2023-07-24,2023-07-24 13:00:00,4419,2023-09-02,360,478,
C0028,P101,2023-08-15,,73,2023-09-14,79,2523,Contacted,2023-08-09,2023-08-09 14:00:00,2516,2023-09-12,539,590,
C0029,P109,2023-04-24,2024-03-25,88,2023-05-09,96,3850,New,2023-04-08,2023-04-09 21:00:00,3234,2023-05-26,525,358,
C0030,P100,2023-08-19,,25,2023-09-01,31,1121,Converted,2023-08-10,2023-08-10 20:00:00,3416,2023-09-16,634,516,
C0031,P105,2024-01-10,2024-04-01,59,2024-02-04,63,3287,Lost,2023-12-29,2023-12-29 22:00:00,4934,2024-02-19,509,487,2024-05-28
C0032,P102,2023-04-08,2024-01-07,78,2023-05-02,81,4998,Contacted,2023-03-30,2023-03-31 07:00:00,1672,2023-05-23,510,499,2024-01-24
C0033,P106,2023-09-16,2023-10-17,74,2023-10-08,69,3443,Lost,2023-09-06,2023-09-07 20:00:00,1498,2023-09-28,491,413,2024-01-19
C0034,P107,2024-01-25,2024-07-13,55,2024-02-23,56,1477,New,2024-01-16,2024-01-17 06:00:00,812,2024-02-04,596,717,2024-10-02
C0035,P110,2023-01-27,2023-11-08,34,2023-02-17,34,2674,Converted,2023-01-16,2023-01-17 05:00:00,4740,2023-02-03,534,741,
C0036,P100,2023-06-04,2023-10-07,78,2023-06-27,83,3807,Lost,2023-05-10,2023-05-12 08:00:00,3043,2023-06-26,785,665,
C0037,P101,2023-03-09,2023-12-23,32,2023-03-21,29,3282,Contacted,2023-02-18,2023-02-19 18:00:00,3264,2023-04-01,312,960,2024-03-01
C0038,P106,2023-11-15,2024-09-20,92,2023-12-09,88,3519,New,2023-11-13,2023-11-14 21:00:00,1436,2024-01-14,744,809,2024-11-09
C0039,P103,2023-08-09,2024-05-30,29,2023-08-31,25,2254,New,2023-08-08,2023-08-09 06:00:00,2666,2023-08-14,342,752,2024-06-18
C0040,P106,2023-07-25,2024-05-07,55,2023-08-01,56,3308,New,2023-07-20,2023-07-21 17:00:00,3713,2023-08-28,717,868,2024-07-04
C0041,P105,2023-06-26,2024-04-21,75,2023-07-14,82,1492,Contacted,2023-06-24,2023-06-25 17:00:00,4162,2023-08-05,463,725,2024-05-14
C0042,P102,2023-02-09,2023-12-05,60,2023-02-27,70,3429,Converted,2023-01-12,2023-01-12 06:00:00,2445,2023-03-05,497,905,
C0043,P110,2023-03-19,,54,2023-03-23,49,3875,Lost,2023-02-18,2023-02-18 02:00:00,3833,2023-04-28,532,517,
C0044,P101,2023-04-01,2023-05-16,20,2023-04-04,28,3552,Converted,2023-03-03,2023-03-03 16:00:00,3134,2023-05-18,287,394,2023-05-28
C0045,P106,2023-12-19,2024-03-01,67,2023-12-29,76,2058,New,2023-12-17,2023-12-18 07:00:00,3907,2024-02-08,340,516,2024-05-07
C0046,P110,2023-02-28,,72,2023-03-13,82,2990,Contacted,2023-02-18,2023-02-19 23:00:00,564,2023-03-22,478,304,
C0047,P108,2023-12-19,2024-11-09,47,2024-01-17,49,2777,Contacted,2023-11-29,2023-12-01 09:00:00,2271,2024-01-04,587,403,
C0048,P104,2023-05-04,2024-02-01,59,2023-05-31,55,4871,New,2023-04-26,2023-04-28 23:00:00,4082,2023-05-15,469,517,
C0049,P108,2023-06-11,2023-09-10,20,2023-07-06,19,2759,Contacted,2023-05-12,2023-05-12 09:00:00,950,2023-07-22,753,335,2023-11-19
C0050,P105,2024-01-28,2024-12-08,78,2024-01-31,81,2593,New,2024-01-23,2024-01-23 04:00:00,1978,2024-02-03,584,724,2025-03-03
C0051,P105,2023-11-03,2024-07-04,71,2023-11-23,77,2724,Contacted,2023-11-01,2023-11-02 00:00:00,2964,2023-12-24,511,864,2024-10-08
C0052,P109,2023-10-22,,34,2023-11-08,41,1039,Converted,2023-10-12,2023-10-12 04:00:00,1983,2023-11-06,231,739,
C0053,P103,2023-09-20,2024-08-27,55,2023-10-01,62,2339,Lost,2023-08-25,2023-08-27 16:00:00,2109,2023-10-02,497,467,
C0054,P109,2023-09-29,2024-03-18,39,2023-10-23,48,3244,Lost,2023-09-06,2023-09-06 19:00:00,1731,2023-11-25,472,339,
C0055,P100,2024-01-23,,29,2024-02-18,36,4197,Converted,2023-12-27,2023-12-27 12:00:00,1714,2024-03-08,357,366,
C0056,P104,2023-01-09,2023-03-01,26,2023-02-03,27,1590,New,2023-01-06,2023-01-06 03:00:00,3446,2023-02-12,387,308,
C0057,P104,2023-05-15,,62,2023-05-15,62,2872,New,2023-05-02,2023-05-02 16:00:00,1712,2023-05-31,390,615,
C0058,P107,2023-09-09,2023-10-20,56,2023-10-08,51,2063,Contacted,2023-09-02,2023-09-02 21:00:00,4931,2023-10-29,797,657,
C0059,P102,2023-01-01,2023-03-12,26,2023-01-17,28,3351,Lost,2022-12-26,2022-12-28 01:00:00,1791,2023-01-19,476,341,
C0060,P107,2023-09-19,2024-09-08,97,2023-10-13,98,2599,Converted,2023-09-11,2023-09-11 14:00:00,2621,2023-11-04,651,498,
C0061,P110,2023-12-01,,20,2023-12-11,25,1981,Lost,2023-11-20,2023-11-20 19:00:00,2907,2024-01-30,576,870,
C0062,P104,2023-07-15,2024-01-14,68,2023-08-10,76,2200,New,2023-07-02,2023-07-03 22:00:00,1657,2023-09-06,357,556,2024-04-07
C0063,P110,2024-01-31,2024-09-28,74,2024-02-28,80,3419,New,2024-01-20,2024-01-21 03:00:00,4740,2024-03-18,433,583,
C0064,P101,2023-03-18,2023-12-30,67,2023-04-10,77,3555,New,2023-03-16,2023-03-16 09:00:00,4778,2023-04-29,233,849,
C0065,P105,2023-12-21,2024-06-26,48,2024-01-06,53,3840,Converted,2023-12-04,2023-12-05 06:00:00,1157,2024-01-09,248,507,2024-09-21
C0066,P107,2023-09-03,2024-02-17,57,2023-09-19,55,4687,New,2023-08-24,2023-08-24 09:00:00,2478,2023-10-31,525,935,
C0067,P101,2023-02-17,2024-01-09,95,2023-02-23,94,4981,New,2023-02-16,2023-02-18 03:00:00,4119,2023-03-16,444,951,2024-03-13
C0068,P109,2023-01-07,2023-04-03,47,2023-01-22,53,3465,Lost,2022-12-10,2022-12-12 04:00:00,3627,2023-01-24,679,456,
C0069,P101,2023-06-11,2024-05-03,27,2023-06-20,22,4656,Lost,2023-06-08,2023-06-09 17:00:00,1115,2023-06-16,410,642,
C0070,P102,2023-05-19,,63,2023-05-21,70,1567,Converted,2023-04-19,2023-04-21 13:00:00,3744,2023-07-14,722,432,
C0071,P108,2023-10-20,2024-07-30,32,2023-10-31,36,4209,Contacted,2023-09-20,2023-09-22 09:00:00,954,2023-12-12,466,358,2024-09-28
C0072,P107,2023-01-15,,46,2023-01-29,55,1039,Converted,2022-12-25,2022-12-27 23:00:00,4959,2023-01-20,305,850,
C0073,P103,2023-06-13,2024-03-05,94,2023-06-14,104,4519,Lost,2023-05-24,2023-05-24 10:00:00,4248,2023-06-23,584,414,
C0074,P109,2024-01-21,,99,2024-01-21,108,4033,Converted,2024-01-16,2024-01-16 12:00:00,4721,2024-02-27,631,459,
C0075,P104,2023-11-04,,77,2023-11-12,76,1506,Lost,2023-10-08,2023-10-08 08:00:00,3973,2023-12-14,265,756,
C0076,P106,2023-04-18,2024-01-01,90,2023-04-20,98,3468,Converted,2023-03-23,2023-03-24 03:00:00,2069,2023-05-06,240,661,
C0077,P102,2023-06-27,2023-12-17,53,2023-07-19,50,4752,Lost,2023-06-03,2023-06-04 20:00:00,1152,2023-07-09,312,477,
C0078,P103,2023-01-28,2023-05-18,51,2023-02-01,56,4320,Contacted,2023-01-22,2023-01-24 05:00:00,4827,2023-02-13,664,926,2023-06-24
C0079,P105,2023-08-09,2024-02-16,72,2023-08-17,82,1055,Converted,2023-07-24,2023-07-24 14:00:00,4524,2023-09-22,623,816,2024-03-30
C0080,P107,2023-02-09,,84,2023-02-20,94,3905,Converted,2023-01-28,2023-01-30 20:00:00,3882,2023-02-18,725,654,
C0081,P104,2023-06-02,2023-12-29,41,2023-06-10,50,4625,Contacted,2023-05-27,2023-05-28 12:00:00,3328,2023-06-12,792,612,
C0082,P109,2024-02-03,2024-09-28,30,2024-02-22,33,3464,Converted,2024-01-18,2024-01-20 04:00:00,1047,2024-03-21,488,417,2024-12-26
C0083,P108,2023-12-10,2024-01-19,60,2024-01-05,58,1030,Contacted,2023-12-05,2023-12-05 22:00:00,1588,2024-01-21,321,370,
C0084,P106,2023-01-22,2023-03-21,32,2023-01-28,30,3066,Converted,2023-01-08,2023-01-08 15:00:00,1150,2023-02-27,470,329,2023-05-14
C0085,P102,2023-04-11,2023-08-21,86,2023-04-20,86,3900,Lost,2023-03-29,2023-03-29 08:00:00,4611,2023-06-05,218,312,
C0086,P102,2023-01-27,2024-01-23,65,2023-02-20,64,2613,Lost,2023-01-06,2023-01-06 03:00:00,4606,2023-03-27,415,876,
C0087,P100,2023-02-02,2023-03-28,88,2023-03-01,93,2348,Converted,2023-01-24,2023-01-25 09:00:00,4259,2023-02-20,313,435,
C0088,P106,2023-02-01,2023-08-05,45,2023-02-02,44,2254,Lost,2023-01-08,2023-01-10 13:00:00,4422,2023-02-21,444,368,
C0089,P110,2024-01-23,2024-03-01,91,2024-01-28,90,1982,Converted,2024-01-18,2024-01-20 12:00:00,1354,2024-02-05,768,432,
C0090,P109,2023-03-28,2024-03-02,26,2023-03-29,32,4361,Converted,2023-03-19,2023-03-20 12:00:00,4647,2023-04-04,475,401,
C0091,P101,2023-01-06,2023-10-09,83,2023-01-19,93,1107,Contacted,2022-12-28,2022-12-28 19:00:00,3031,2023-03-07,480,658,2024-01-13
C0092,P103,2023-02-17,,78,2023-02-27,86,1701,Lost,2023-02-16,2023-02-16 16:00:00,3048,2023-04-01,591,725,
C0093,P100,2023-11-24,,69,2023-12-18,72,1172,New,2023-11-17,2023-11-19 04:00:00,783,2023-12-15,471,795,
C0094,P106,2023-04-02,2023-08-23,87,2023-04-12,86,2525,Contacted,2023-03-20,2023-03-20 22:00:00,1713,2023-04-16,773,411,
C0095,P104,2023-01-25,2023-04-24,81,2023-01-26,77,4202,Lost,2022-12-26,2022-12-27 00:00:00,1427,2023-02-05,766,529,2023-05-27
C0096,P102,2023-03-14,2023-07-17,78,2023-03-27,85,4558,Contacted,2023-02-19,2023-02-20 03:00:00,3443,2023-03-19,571,374,2023-08-10
C0097,P106,2023-02-17,,93,2023-03-07,98,4010,New,2023-02-13,2023-02-14 00:00:00,3249,2023-04-15,321,632,
C0098,P101,2023-08-19,2024-06-29,49,2023-09-11,47,4438,Converted,2023-07-29,2023-07-30 02:00:00,3251,2023-09-29,253,624,2024-09-28
C0099,P109,2024-01-14,2024-03-26,43,2024-01-28,42,1793,Converted,2023-12-18,2023-12-20 04:00:00,3541,2024-02-04,374,951,
C0100,P104,2023-04-30,2023-11-07,34,2023-05-03,30,3834,Lost,2023-04-19,2023-04-21 05:00:00,1672,2023-06-27,618,570,2024-01-21
